experiment_id,phase,model,feature_set,pairs,train_range,valid_range,test_range,eval_segment,horizon,hyperparameters,n,accuracy,macro_f1,log_loss,brier_score,bss,calibration_error,auc_huong,notes
ML_P_kiem_tra_logistic đa thức,1,logistic đa thức,12 đặc trưng đọc được + σ̂,EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,kiểm tra,1,,4314.0,,,1.0831978017219892,0.6565754888029606,0.0148763494947413,0.0125306211986422,0.5304789902695611,mục tiêu P
ML_P_kiem_tra_LightGBM 3 lớp,1,LightGBM 3 lớp,12 đặc trưng đọc được + σ̂,EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,kiểm tra,1,,4314.0,,,1.1033034367217114,0.6692324588084622,-0.0041141256429881,0.0424414454319656,0.5086644638540313,mục tiêu P
ML_P_kiem_tra_GRU 3 lớp,1,GRU 3 lớp,12 đặc trưng đọc được + σ̂,EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,kiểm tra,1,,4314.0,,,1.1766681298598252,0.7119469144871644,-0.0682027509802893,0.1083028432710244,0.5146381758767721,mục tiêu P
ML_P_kiem_tra_học trực tuyến (Hedge),1,học trực tuyến (Hedge),12 đặc trưng đọc được + σ̂,EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,kiểm tra,1,,4314.0,,,1.0816976664556606,0.6555451172589448,0.0164223154866611,0.0109621673371306,0.5234453771304316,mục tiêu P
G2_H1,1,ngưỡng đặc trưng,630 vị từ 1-2 mệnh đề,EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện+kiểm định (phát hiện),1,,1890.0,,,,,,,,"phễu: 1890 giả thuyết → 522 thô p<0,05 → 3 sống sót W-Y → 0 sau đối chứng → 0 tái lập kiểm tra"
G2_H2,1,motif (KMeans VQ),24 cụm hình dạng,EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện+kiểm định (phát hiện),1,,72.0,,,,,,,,"phễu: 72 giả thuyết → 2 thô p<0,05 → 0 sống sót W-Y → 0 sau đối chứng → 0 tái lập kiểm tra; SPA p=0.990"
G2_H3,1,rule-list (CART),8 lá CART sâu 3,EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện+kiểm định (phát hiện),1,,24.0,,,,,,,,"phễu: 24 giả thuyết → 17 thô p<0,05 → 0 sống sót W-Y → 0 sau đối chứng → 0 tái lập kiểm tra; SPA p=0.590"
G2_H5,1,chế độ tự tương quan,630 vị từ × 3 chế độ,EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện+kiểm định (phát hiện),1,,5670.0,,,,,,,,"phễu: 5670 giả thuyết → 938 thô p<0,05 → 0 sống sót W-Y → 0 sau đối chứng → 0 tái lập kiểm tra; SPA p=0.872"
G2_H6,1,HMM,"trạng thái ẩn K=2,3,4",EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện+kiểm định (phát hiện),1,,18.0,,,,,,,,"phễu: 18 giả thuyết → 8 thô p<0,05 → 6 sống sót W-Y → 0 sau đối chứng → 0 tái lập kiểm tra; SPA p=1.000"
G2_H7,1,Matrix Profile,"analog K=20, L=5/10/20",EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện+kiểm định (phát hiện),1,,108.0,,,,,,,,"phễu: 108 giả thuyết → 1 thô p<0,05 → 0 sống sót W-Y → 0 sau đối chứng → 0 tái lập kiểm tra; SPA p=0.972"
WF_h1_2012,1,tổ hợp trực tuyến,σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện,1,,1374.0,,,1.0911955412768897,0.6616053656868582,0.0072819676768521,0.0077068586000816,0.5093927075634392,walk-forward năm 2012
WF_h1_2013,1,tổ hợp trực tuyến,σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện,1,,1554.0,,,1.085347499546098,0.6582607962883624,0.0123124945675973,0.0156326807814858,0.5140681280230524,walk-forward năm 2013
WF_h1_2014,1,tổ hợp trực tuyến,σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện,1,,1548.0,,,1.049465465293206,0.6333031464741017,0.0491147710379487,0.0311158218603073,0.5207593517208234,walk-forward năm 2014
WF_h1_2015,1,tổ hợp trực tuyến,σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện,1,,1554.0,,,1.0814377059179636,0.6560557637897944,0.0146304702868206,0.0146878630842502,0.4683092783505154,walk-forward năm 2015
WF_h1_2016,1,tổ hợp trực tuyến,σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện,1,,1554.0,,,1.0885632810283092,0.6606347615484401,0.0092702392146735,0.0210659988232541,0.4674176090113081,walk-forward năm 2016
WF_h1_2017,1,tổ hợp trực tuyến,σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện,1,,1554.0,,,1.0901148983968365,0.6610031998671676,0.00893474212646,0.0126890419114322,0.4672003712727695,walk-forward năm 2017
WF_h1_2018,1,tổ hợp trực tuyến,σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện,1,,1560.0,,,1.0969618003714712,0.665675930228762,0.0009564228047215,0.0120671253923473,0.5104334549155993,walk-forward năm 2018
WF_h1_2019,1,tổ hợp trực tuyến,σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện,1,,1560.0,,,1.0818546502493431,0.6553208970643912,0.0170329487115834,0.0111793504638007,0.4654835313580989,walk-forward năm 2019
WF_h1_2020,1,tổ hợp trực tuyến,σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện,1,,1554.0,,,1.0705198691130418,0.6502979258554846,0.0258596953188529,0.0064060592207729,0.4993258600100158,walk-forward năm 2020
WF_h1_2021,1,tổ hợp trực tuyến,σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện,1,,1554.0,,,1.0943661483016929,0.6639099528687813,0.0038815589837655,0.0097150355776708,0.4657565888249833,walk-forward năm 2021
WF_h1_2022,1,tổ hợp trực tuyến,σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,kiểm định,1,,1560.0,,,1.0788470455857528,0.6545675396526198,0.0171080188510766,0.009492346296244,0.4705425376235298,walk-forward năm 2022
WF_h1_2023,1,tổ hợp trực tuyến,σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,kiểm định,1,,1552.0,,,1.0935558899083828,0.6632511605402822,0.0051952413638771,0.0172035945589399,0.4526723095525997,walk-forward năm 2023
WF_h1_2024,1,tổ hợp trực tuyến,σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,kiểm tra,1,,1562.0,,,1.0820203594912965,0.6554968227572439,0.0157750993466061,0.0144024693922144,0.4805016992249578,walk-forward năm 2024
WF_h1_2025,1,tổ hợp trực tuyến,σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,kiểm tra,1,,1556.0,,,1.0785794607134955,0.6540569890597064,0.0190037717495773,0.010864667644493,0.47438708391469,walk-forward năm 2025
WF_h5_2012,1,σ̂ + chế độ (cuộn),σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện,5,,1374.0,,,1.093501427384956,0.6631537370422721,0.0040600175727995,0.0212291079373163,0.5011211415259172,walk-forward năm 2012
WF_h5_2013,1,σ̂ + chế độ (cuộn),σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện,5,,1554.0,,,1.080381072886604,0.6552769715209279,0.0142858812689847,0.028140427877644,0.5120061274022202,walk-forward năm 2013
WF_h5_2014,1,σ̂ + chế độ (cuộn),σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện,5,,1548.0,,,1.0663605325695231,0.6446667661545445,0.0276298165046743,0.0200078863706602,0.4584419073203492,walk-forward năm 2014
WF_h5_2015,1,σ̂ + chế độ (cuộn),σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện,5,,1554.0,,,1.0949662688492765,0.6635115238457131,0.0016038912010116,0.0214270460672856,0.4387467924840659,walk-forward năm 2015
WF_h5_2016,1,σ̂ + chế độ (cuộn),σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện,5,,1554.0,,,1.107021575565369,0.6723592724999247,-0.0082871040667138,0.0404617263627465,0.4443407398486582,walk-forward năm 2016
WF_h5_2017,1,σ̂ + chế độ (cuộn),σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện,5,,1554.0,,,1.1268951542801728,0.6848205804687432,-0.0237977220152638,0.0604676642616369,0.4173060318243493,walk-forward năm 2017
WF_h5_2018,1,σ̂ + chế độ (cuộn),σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện,5,,1560.0,,,1.1067787857584483,0.6718232291737735,-0.0084528358890785,0.0340688195576138,0.4281706080682809,walk-forward năm 2018
WF_h5_2019,1,σ̂ + chế độ (cuộn),σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện,5,,1560.0,,,1.1074774005698105,0.6721715463898797,-0.0080347929286082,0.0362095891953798,0.4310502283105022,walk-forward năm 2019
WF_h5_2020,1,σ̂ + chế độ (cuộn),σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện,5,,1554.0,,,1.0822931762849777,0.6595917034381918,0.0153307583003285,0.0289620876077864,0.4870666640299009,walk-forward năm 2020
WF_h5_2021,1,σ̂ + chế độ (cuộn),σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện,5,,1554.0,,,1.0946981695002374,0.6640473667813841,0.0008354796233569,0.0451786602347767,0.432913703370664,walk-forward năm 2021
WF_h5_2022,1,σ̂ + chế độ (cuộn),σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,kiểm định,5,,1560.0,,,1.0749888378435697,0.6517358275169998,0.0204065475534691,0.0218897845274852,0.4610772198759059,walk-forward năm 2022
WF_h5_2023,1,σ̂ + chế độ (cuộn),σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,kiểm định,5,,1552.0,,,1.0883726785639467,0.6597427188741486,0.0089703349257739,0.0104928054797234,0.4700424911372036,walk-forward năm 2023
WF_h5_2024,1,σ̂ + chế độ (cuộn),σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,kiểm tra,5,,1562.0,,,1.0833454306866277,0.6568171001898877,0.009442584835246,0.02708316029812,0.4381095185246405,walk-forward năm 2024
WF_h5_2025,1,σ̂ + chế độ (cuộn),σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,kiểm tra,5,,1532.0,,,1.1018753677264677,0.6688303337207803,0.0002490363860624,0.0308849337853516,0.5216394021122678,walk-forward năm 2025
WF_h20_2012,1,σ̂ + chế độ (cuộn),σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện,20,,1374.0,,,1.077290001376817,0.651367085829438,0.023667518011042,0.0367661285905598,0.5737716005545974,walk-forward năm 2012
WF_h20_2013,1,σ̂ + chế độ (cuộn),σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện,20,,1554.0,,,1.0646155164033182,0.6464857757603951,0.0143832865218013,0.0599525946486701,0.5500372485721381,walk-forward năm 2013
WF_h20_2014,1,σ̂ + chế độ (cuộn),σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện,20,,1548.0,,,1.0634072772253456,0.6432269453437751,0.0217643142999048,0.0564843537446265,0.3919287434480805,walk-forward năm 2014
WF_h20_2015,1,σ̂ + chế độ (cuộn),σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện,20,,1554.0,,,1.0932069392675363,0.6626782449347229,-0.005642725884394,0.0503007761080147,0.3842789756125508,walk-forward năm 2015
WF_h20_2016,1,σ̂ + chế độ (cuộn),σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện,20,,1554.0,,,1.1222578946330797,0.6839292321607107,-0.016432622641642,0.0629127834957876,0.3639729817708333,walk-forward năm 2016
WF_h20_2017,1,σ̂ + chế độ (cuộn),σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện,20,,1554.0,,,1.1528496085249007,0.6996182815280331,-0.037653431502246,0.0881712457310656,0.3247725873743246,walk-forward năm 2017
WF_h20_2018,1,σ̂ + chế độ (cuộn),σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện,20,,1560.0,,,1.1101345607013329,0.6733433987509606,-0.0199208549734373,0.0592387368493348,0.3398539584934665,walk-forward năm 2018
WF_h20_2019,1,σ̂ + chế độ (cuộn),σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện,20,,1560.0,,,1.0904208785845717,0.6601650147298065,0.0079070222588044,0.0885847424745227,0.427702419242064,walk-forward năm 2019
WF_h20_2020,1,σ̂ + chế độ (cuộn),σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện,20,,1554.0,,,1.0950564711217898,0.6665687339157167,0.018521077141819,0.0611123726673676,0.6816982437927156,walk-forward năm 2020
WF_h20_2021,1,σ̂ + chế độ (cuộn),σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện,20,,1554.0,,,1.0977522599425091,0.666869690306044,-0.0123976191431462,0.0319793592613626,0.4743429112373316,walk-forward năm 2021
WF_h20_2022,1,σ̂ + chế độ (cuộn),σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,kiểm định,20,,1560.0,,,1.0550642267965926,0.6409126026598845,0.0329904433935146,0.0551955669920709,0.4271947720223582,walk-forward năm 2022
WF_h20_2023,1,σ̂ + chế độ (cuộn),σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,kiểm định,20,,1552.0,,,1.0990840882015958,0.6656616511916742,-0.0035373107862659,0.0460280835677419,0.3662656769900179,walk-forward năm 2023
WF_h20_2024,1,σ̂ + chế độ (cuộn),σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,kiểm tra,20,,1562.0,,,1.0607398490390334,0.6417209339742704,0.0243124883549917,0.0516312026639918,0.4085812952362931,walk-forward năm 2024
WF_h20_2025,1,σ̂ + chế độ (cuộn),σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,kiểm tra,20,,1442.0,,,1.1070173608924403,0.671912125226114,0.0047845469729254,0.0713742059160397,0.4876192223037418,walk-forward năm 2025
ROBUST_luc_pheu,1,phễu Giai đoạn 2,đối chứng âm + dương,EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,huấn luyện+kiểm định,1,,,,,,,,,,MDES lực 80% = lift 1.2; dương tính giả trên nhiễu thuần: 0.0
P3B_biendo_B0_kiểmđịnh,3B,HAR sản xuất + B0,—(mốc HAR sản xuất),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2025-12-31,kiểm định,1,n_dactrung=0,,,,,,,,,TRỤC BIÊN ĐỘ — chỉ số chính QLIKE=0.1569; so B0 +0.00%
P3B_biendo_B0_kiểmtra,3B,HAR sản xuất + B0,—(mốc HAR sản xuất),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2025-12-31,kiểm tra,1,n_dactrung=0,,,,,,,,,TRỤC BIÊN ĐỘ — chỉ số chính QLIKE=0.1872; so B0 +0.00%; MSE=7.927e-10 MAE=1.228e-05
P3B_biendo_E1_kiểmđịnh,3B,HAR sản xuất + E1,186 ngoại sinh (toàn bộ),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2025-12-31,kiểm định,1,n_dactrung=171,,,,,,,,,TRỤC BIÊN ĐỘ — chỉ số chính QLIKE=0.1995; so B0 +27.14%
P3B_biendo_E1_kiểmtra,3B,HAR sản xuất + E1,186 ngoại sinh (toàn bộ),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2025-12-31,kiểm tra,1,n_dactrung=171,,,,,,,,,TRỤC BIÊN ĐỘ — chỉ số chính QLIKE=0.2245; so B0 +19.87%; DM p=0.0000; MSE=8.616e-10 MAE=1.223e-05
P3B_biendo_E2_kiểmđịnh,3B,HAR sản xuất + E2,15 chọn đơn biến trên kiểm định,EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2025-12-31,kiểm định,1,n_dactrung=15,,,,,,,,,TRỤC BIÊN ĐỘ — chỉ số chính QLIKE=0.1473; so B0 -6.15%
P3B_biendo_E2_kiểmtra,3B,HAR sản xuất + E2,15 chọn đơn biến trên kiểm định,EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2025-12-31,kiểm tra,1,n_dactrung=15,,,,,,,,,TRỤC BIÊN ĐỘ — chỉ số chính QLIKE=0.1947; so B0 +3.99%; DM p=0.0324; MSE=8.223e-10 MAE=1.262e-05
P3B_biendo_E3_kiểmđịnh,3B,HAR sản xuất + E3,15 lọc Granger+độ vững,EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2025-12-31,kiểm định,1,n_dactrung=15,,,,,,,,,TRỤC BIÊN ĐỘ — chỉ số chính QLIKE=0.1504; so B0 -4.19%
P3B_biendo_E3_kiểmtra,3B,HAR sản xuất + E3,15 lọc Granger+độ vững,EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2025-12-31,kiểm tra,1,n_dactrung=15,,,,,,,,,TRỤC BIÊN ĐỘ — chỉ số chính QLIKE=0.1887; so B0 +0.80%; DM p=0.7462; MSE=7.822e-10 MAE=1.222e-05
P3B_biendo_E4_kiểmđịnh,3B,HAR sản xuất + E4,45 = E3 × chế độ biến động,EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2025-12-31,kiểm định,1,n_dactrung=45,,,,,,,,,TRỤC BIÊN ĐỘ — chỉ số chính QLIKE=0.1510; so B0 -3.79%
P3B_biendo_E4_kiểmtra,3B,HAR sản xuất + E4,45 = E3 × chế độ biến động,EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2025-12-31,kiểm tra,1,n_dactrung=45,,,,,,,,,TRỤC BIÊN ĐỘ — chỉ số chính QLIKE=0.1876; so B0 +0.20%; DM p=0.9377; MSE=7.757e-10 MAE=1.218e-05
P3B_huong_B0_kiemtra,3B,logistic 3 lớp + B0,—(mốc HAR sản xuất),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2025-12-31,kiểm tra,1,n_dactrung=0,,,,1.0979770453838484,0.6662365820255588,0.00040952750880107747,,0.5150806366029584,"TRỤC HƯỚNG — BSS so khí hậu học; AUC≈0,5 = không phân biệt được hướng"
P3B_huong_E1_kiemtra,3B,logistic 3 lớp + E1,186 ngoại sinh (toàn bộ),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2025-12-31,kiểm tra,1,n_dactrung=171,,,,1.1198931100767047,0.680850417070908,-0.02151639291045404,,0.5047900983523499,"TRỤC HƯỚNG — BSS so khí hậu học; AUC≈0,5 = không phân biệt được hướng"
P3B_huong_E2_kiemtra,3B,logistic 3 lớp + E2,15 chọn đơn biến trên kiểm định,EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2025-12-31,kiểm tra,1,n_dactrung=15,,,,1.0993609807242934,0.6672297367442444,-0.001080555775862635,,0.5213307863737663,"TRỤC HƯỚNG — BSS so khí hậu học; AUC≈0,5 = không phân biệt được hướng"
P3B_huong_E3_kiemtra,3B,logistic 3 lớp + E3,15 lọc Granger+độ vững,EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2025-12-31,kiểm tra,1,n_dactrung=15,,,,1.0980889273830958,0.6663490348599079,0.00024080849088370382,,0.5217355954716154,"TRỤC HƯỚNG — BSS so khí hậu học; AUC≈0,5 = không phân biệt được hướng"
P3B_ruiro_B0_kiemtra,3B,σ̂×phân vị z (V0) + B0,—(mốc HAR sản xuất),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2025-12-31,kiểm tra,1,n_dactrung=0,,,,,,,,,TRỤC RỦI RO — CRPS=0.00260; kỹ năng so khí hậu học 2.15%; phủ 80% thực=79.9%; 6/6 cặp dương
P3B_ruiro_E1_kiemtra,3B,σ̂×phân vị z (V0) + E1,186 ngoại sinh (toàn bộ),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2025-12-31,kiểm tra,1,n_dactrung=171,,,,,,,,,TRỤC RỦI RO — CRPS=0.00260; kỹ năng so khí hậu học 1.93%; phủ 80% thực=77.5%; 6/6 cặp dương
P3B_ruiro_E2_kiemtra,3B,σ̂×phân vị z (V0) + E2,15 chọn đơn biến trên kiểm định,EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2025-12-31,kiểm tra,1,n_dactrung=15,,,,,,,,,TRỤC RỦI RO — CRPS=0.00260; kỹ năng so khí hậu học 2.08%; phủ 80% thực=80.0%; 6/6 cặp dương
