truc,pair,dac_trung,lag,n,n_khop,F,he_so,dau,p_tiem_can,p_hoan_vi,p_wy,q_fdr
bien_do,AUDUSD,than,1,3050,,0.004795381634284077,0.0023234071142999232,1,0.944796207812021,0.9460539460539461,1.0,0.9976667739605971
bien_do,AUDUSD,than,2,3050,,1.2471491971823756,0.03746465937726677,1,0.2641857178193642,0.25674325674325676,1.0,0.8301858569238248
bien_do,AUDUSD,bong_tren,1,3050,,4.284624975398081,0.08874860716271551,1,0.038542642881450706,0.04995004995004995,1.0,0.52578999947421
bien_do,AUDUSD,bong_tren,2,3050,,0.09809054126406033,-0.013427808816458093,-1,0.7541546400975258,0.7682317682317682,1.0,0.9657009657009658
bien_do,AUDUSD,bong_duoi,1,3050,,4.873535240608612,-0.09678396109933365,-1,0.027345829135398958,0.03496503496503497,1.0,0.46484128116781176
bien_do,AUDUSD,bong_duoi,2,3050,,1.2964263448153364,-0.049898402992414756,-1,0.2549565379250268,0.2627372627372627,1.0,0.832003817078444
bien_do,AUDUSD,vi_tri_dong,1,3050,,1.8660413586733011,-0.03926778874377073,-1,0.172029968400072,0.14885114885114886,1.0,0.7766146896581679
bien_do,AUDUSD,vi_tri_dong,2,3050,,2.3502137144127566,-0.04406942146103519,-1,0.1253696493546359,0.11588411588411589,1.0,0.7094945870456074
bien_do,AUDUSD,huong,1,3050,,0.06434727213223876,-0.0021827642844689716,-1,0.7997694496872494,0.8061938061938062,1.0,0.9785395327564003
bien_do,AUDUSD,huong,2,3050,,3.3013271933302635,-0.015621963597668232,-1,0.06932212820184036,0.07992007992007992,1.0,0.5994005994005994
bien_do,AUDUSD,lr_park,1,3050,,2.691038925828357,0.027091366965703766,1,0.10101721396437036,0.08691308691308691,1.0,0.6282873752753271
bien_do,AUDUSD,lr_park,2,3050,,4.354594023412532,0.03445013734149619,1,0.036992187000047805,0.01898101898101898,1.0,0.3796203796203796
bien_do,AUDUSD,lr_gk,1,3050,,4.199595914888797,0.037730958222071856,1,0.04051906768417113,0.03796203796203796,1.0,0.46484128116781176
bien_do,AUDUSD,lr_gk,2,3050,,4.106713017692879,0.03731567149234531,1,0.04280023917138864,0.030969030969030968,1.0,0.46484128116781176
bien_do,AUDUSD,lr_rs,1,3050,,3.083516194643462,0.026604308517623906,1,0.07918983127472257,0.08291708291708291,1.0,0.6142006142006142
bien_do,AUDUSD,lr_rs,2,3050,,1.979121621289335,0.02131934139547114,1,0.15958495795894623,0.14485514485514486,1.0,0.7676533992323465
bien_do,AUDUSD,doji,1,3050,154.0,0.19054122147179697,0.01714667327617317,1,0.6624974727532189,0.6653346653346653,1.0,0.9504780933352363
bien_do,AUDUSD,doji,2,3050,154.0,1.575349234908702,-0.04930086856597543,-1,0.20952812490519535,0.2017982017982018,1.0,0.779989241527703
bien_do,AUDUSD,bua,1,3050,91.0,3.762870386220209,-0.09804512448889938,-1,0.05249471786851889,0.061938061938061936,1.0,0.5546692113856293
bien_do,AUDUSD,bua,2,3050,91.0,0.12890591421436923,-0.01814877262011899,-1,0.7195940089333788,0.7112887112887113,1.0,0.9619844441273012
bien_do,AUDUSD,sao_bang,1,3050,124.0,0.5183824338309387,0.03135575665795395,1,0.47158772957186246,0.4925074925074925,1.0,0.9280492235037688
bien_do,AUDUSD,sao_bang,2,3050,124.0,0.0007648842930481207,0.0012043798331244256,1,0.9779378963615462,0.9760239760239761,1.0,0.9976667739605971
bien_do,AUDUSD,marubozu,1,3050,73.0,5.256170319101769,-0.1289004636177477,-1,0.021936930115602715,0.02197802197802198,1.0,0.4120879120879121
bien_do,AUDUSD,marubozu,2,3050,73.0,0.08789289423390279,-0.01668378286830657,-1,0.7668933971017248,0.7652347652347652,1.0,0.9657009657009658
bien_do,AUDUSD,con_quay,1,3050,546.0,0.5578505742331894,0.01675398037092592,1,0.4551852048192253,0.4435564435564436,1.0,0.9280492235037688
bien_do,AUDUSD,con_quay,2,3050,546.0,1.0262957647642343,-0.022727156035617056,-1,0.3111107132474572,0.3106893106893107,1.0,0.8738924626775093
bien_do,AUDUSD,nhan_chim_tang,1,3050,217.0,0.3662131268271924,-0.020245758744345258,-1,0.5451207748997915,0.5374625374625375,1.0,0.9280492235037688
bien_do,AUDUSD,nhan_chim_tang,2,3050,217.0,1.173261140326875,-0.03623029473884076,-1,0.27881788142941477,0.2827172827172827,1.0,0.8385702966983755
bien_do,AUDUSD,nhan_chim_giam,1,3050,265.0,0.2658159088288764,-0.01574565154265177,-1,0.6061898120145122,0.6123876123876124,1.0,0.9393138507062558
bien_do,AUDUSD,nhan_chim_giam,2,3050,264.0,0.3788914058723276,0.01882574490210376,1,0.5382431072433034,0.5054945054945055,1.0,0.9280492235037688
bien_do,AUDUSD,harami_tang,1,3050,215.0,0.3822846056964482,0.0207791194027328,1,0.5364292958357292,0.5294705294705294,1.0,0.9280492235037688
bien_do,AUDUSD,harami_tang,2,3050,215.0,0.775157964937146,0.02958172560466027,1,0.3786955450929138,0.37162837162837165,1.0,0.9039347749025168
bien_do,AUDUSD,harami_giam,1,3050,204.0,0.7400579961580853,-0.029611746312261093,-1,0.38970998214957286,0.3696303696303696,1.0,0.9039347749025168
bien_do,AUDUSD,harami_giam,2,3050,204.0,0.2029900528022206,0.015509835287185577,1,0.6523501656145544,0.6523476523476524,1.0,0.9504780933352363
bien_do,AUDUSD,xuyen_tham,1,3050,50.0,4.533391152060481,-0.14411186813752414,-1,0.03331965570261408,0.03896103896103896,1.0,0.46753246753246747
bien_do,AUDUSD,xuyen_tham,2,3050,50.0,0.964767227545579,-0.06651287052367366,-1,0.32606667641801335,0.3006993006993007,1.0,0.8674018289402904
bien_do,AUDUSD,may_den,1,3050,55.0,1.1671608567711786,0.0698154872555621,1,0.2800708797987047,0.2757242757242757,1.0,0.832003817078444
bien_do,AUDUSD,may_den,2,3050,55.0,0.002982052029711511,-0.0035298001273610363,-1,0.9564542113028774,0.961038961038961,1.0,0.9976667739605971
bien_do,AUDUSD,sao_mai,1,3050,191.0,0.7467104330058164,-0.030671695672991585,-1,0.3875877482990614,0.34865134865134867,1.0,0.8939778170547402
bien_do,AUDUSD,sao_mai,2,3050,191.0,0.02551096895738314,0.005669996477750292,1,0.8731110222080541,0.8751248751248751,1.0,0.9976667739605971
bien_do,AUDUSD,sao_hom,1,3050,182.0,1.7859754679767554,-0.0485853989999192,-1,0.18151706727146644,0.15584415584415584,1.0,0.7796399404791013
bien_do,AUDUSD,sao_hom,2,3050,182.0,0.0009134711505455854,-0.0010981357819434007,-1,0.9758906384623036,0.978021978021978,1.0,0.9976667739605971
bien_do,AUDUSD,ba_linh_trang,1,3050,344.0,1.0935792716089061,-0.02843797135610708,-1,0.29576246680109486,0.4145854145854146,1.0,0.9280492235037688
bien_do,AUDUSD,ba_linh_trang,2,3050,344.0,0.4507536861909037,-0.018261051365292956,-1,0.5020281517595908,0.5984015984015985,1.0,0.9365634365634365
bien_do,AUDUSD,ba_qua_den,1,3050,348.0,7.954912360998676,0.07625986230132674,1,0.004826725693183542,0.016983016983016984,0.9500499500499501,0.35137276516586863
bien_do,AUDUSD,ba_qua_den,2,3050,349.0,3.860624314787578,0.05312181133914822,1,0.04952266342137357,0.11988011988011989,1.0,0.7169301286948345
bien_do,AUDUSD,gap,1,3050,,0.4502261739815449,-6.114783121340307,-1,0.5022784264388914,0.5204795204795205,1.0,0.9280492235037688
bien_do,AUDUSD,gap,2,3050,,4.474003401057314,-19.2655763729398,-1,0.03449522426647689,0.03196803196803197,1.0,0.46484128116781176
bien_do,AUDUSD,abs_gap,1,3050,,6.571905040533702,24.630992051941025,1,0.0104076760397952,0.002997002997002997,0.995004995004995,0.11988011988011987
bien_do,AUDUSD,abs_gap,2,3050,,16.760420776996348,39.233962456323944,1,4.3510646028810385e-05,0.000999000999000999,0.056943056943056944,0.06660006660006661
bien_do,EURUSD,than,1,3050,,0.015185694496253236,0.004513828135065609,1,0.9019328996052319,0.9010989010989011,1.0,0.9976667739605971
bien_do,EURUSD,than,2,3050,,0.6603270355999843,0.029775427499707526,1,0.4165079948607302,0.43456543456543456,1.0,0.9280492235037688
bien_do,EURUSD,bong_tren,1,3050,,0.29865314588837316,0.025884754478675744,1,0.5847680256129348,0.5984015984015985,1.0,0.9365634365634365
bien_do,EURUSD,bong_tren,2,3050,,0.040949714033608434,0.00958853954625202,1,0.8396485277743504,0.8481518481518482,1.0,0.99744005994006
bien_do,EURUSD,bong_duoi,1,3050,,0.515996682795761,-0.03462266215471606,-1,0.47260947213083926,0.4645354645354645,1.0,0.9280492235037688
bien_do,EURUSD,bong_duoi,2,3050,,1.6260640293598825,-0.06146097308342347,-1,0.20234553247570064,0.19880119880119881,1.0,0.779989241527703
bien_do,EURUSD,vi_tri_dong,1,3050,,3.718908991694473,0.060608232515104145,1,0.05389231390224569,0.04695304695304695,1.0,0.52578999947421
bien_do,EURUSD,vi_tri_dong,2,3050,,1.2830055700039724,-0.035622848401265665,-1,0.25743007049198674,0.25674325674325676,1.0,0.8301858569238248
bien_do,EURUSD,huong,1,3050,,4.596990322404454,0.019784639432625168,1,0.03210703901488399,0.03496503496503497,1.0,0.46484128116781176
bien_do,EURUSD,huong,2,3050,,0.6165758914747868,-0.007254708759019698,-1,0.43238360856410907,0.3946053946053946,1.0,0.9257152114294971
bien_do,EURUSD,lr_park,1,3050,,0.004962214520204485,-0.0012574884610477427,-1,0.9438456996900398,0.9330669330669331,1.0,0.9976667739605971
bien_do,EURUSD,lr_park,2,3050,,4.087497595170247,0.03604118945140378,1,0.043288800735151844,0.023976023976023976,1.0,0.43592770865498137
bien_do,EURUSD,lr_gk,1,3050,,0.031143763370684713,-0.0036069783335662443,-1,0.8599317640331553,0.8311688311688312,1.0,0.9934288818750971
bien_do,EURUSD,lr_gk,2,3050,,4.710024459839388,0.044281540490784636,1,0.030064231019455878,0.03496503496503497,1.0,0.46484128116781176
bien_do,EURUSD,lr_rs,1,3050,,6.953342665852663e-07,1.4480556043791615e-05,1,0.9993347250142872,0.999000999000999,1.0,0.999000999000999
bien_do,EURUSD,lr_rs,2,3050,,4.239023590153421,0.035700079520360084,1,0.039589698531376394,0.03796203796203796,1.0,0.46484128116781176
bien_do,EURUSD,doji,1,3050,145.0,0.5115991744707155,0.03102067158139648,1,0.47450220507259167,0.45454545454545453,1.0,0.9280492235037688
bien_do,EURUSD,doji,2,3050,144.0,2.8284688456653067,-0.07315669873610875,-1,0.09270908563493341,0.07892107892107893,1.0,0.5994005994005994
bien_do,EURUSD,bua,1,3050,78.0,2.038112445555383,0.08344418484668134,1,0.15350236995826683,0.17882117882117882,1.0,0.7796399404791013
bien_do,EURUSD,bua,2,3050,78.0,0.0329698248275196,0.010616600370309339,1,0.8559276033743318,0.8711288711288712,1.0,0.9976667739605971
bien_do,EURUSD,sao_bang,1,3050,117.0,0.5201337230022539,0.03465390366975391,1,0.47083997680061085,0.4945054945054945,1.0,0.9280492235037688
bien_do,EURUSD,sao_bang,2,3050,117.0,1.4839508174819982,0.05852432564421512,1,0.2232517180512178,0.25574425574425574,1.0,0.8301858569238248
bien_do,EURUSD,marubozu,1,3050,71.0,1.6761360344261875,-0.07922547010986467,-1,0.19553677381934564,0.19080919080919082,1.0,0.779989241527703
bien_do,EURUSD,marubozu,2,3050,71.0,1.4551227315646218,-0.07382055399744497,-1,0.22780139414185596,0.25374625374625376,1.0,0.8301858569238248
bien_do,EURUSD,con_quay,1,3050,553.0,0.567138383667476,0.01804886671587113,1,0.4514564730645707,0.45854145854145856,1.0,0.9280492235037688
bien_do,EURUSD,con_quay,2,3050,552.0,0.27813503236624637,-0.01264412650939986,-1,0.5979645925792332,0.5654345654345654,1.0,0.9313267377783506
bien_do,EURUSD,nhan_chim_tang,1,3050,216.0,1.1545118531704213,0.038653194038368956,1,0.2826917270615793,0.27672327672327673,1.0,0.832003817078444
bien_do,EURUSD,nhan_chim_tang,2,3050,216.0,1.4260769669795137,-0.04295677714008634,-1,0.23249870389434202,0.22377622377622378,1.0,0.8088297244923751
bien_do,EURUSD,nhan_chim_giam,1,3050,236.0,4.569208294470706,-0.07379311836492022,-1,0.032630974989753314,0.024975024975024976,1.0,0.4407357348533819
bien_do,EURUSD,nhan_chim_giam,2,3050,236.0,0.031061263143149918,-0.006087927481822475,-1,0.8601154922786401,0.8551448551448552,1.0,0.9976667739605971
bien_do,EURUSD,harami_tang,1,3050,229.0,0.00652150484535081,0.002829712564918682,1,0.935641435663398,0.938061938061938,1.0,0.9976667739605971
bien_do,EURUSD,harami_tang,2,3050,229.0,0.08742422921754008,-0.01035700905026924,-1,0.7674977622650223,0.7472527472527473,1.0,0.9657009657009658
bien_do,EURUSD,harami_giam,1,3050,237.0,0.11064546706135266,-0.011467766437239513,-1,0.7394333566039586,0.7182817182817183,1.0,0.9619844441273012
bien_do,EURUSD,harami_giam,2,3050,237.0,1.9640002834959753,-0.04830294631277467,-1,0.1611879870076407,0.13286713286713286,1.0,0.7437007437007437
bien_do,EURUSD,xuyen_tham,1,3050,60.0,7.72824723197781,0.1845478778444975,1,0.005469725951978921,0.001998001998001998,0.9600399600399601,0.09221547683086145
bien_do,EURUSD,xuyen_tham,2,3050,60.0,0.6674574622069346,0.05429235666834803,1,0.41400332977547527,0.4125874125874126,1.0,0.9280492235037688
bien_do,EURUSD,may_den,1,3050,62.0,0.0957909065501558,-0.02024192973884109,-1,0.7569615684709035,0.7502497502497503,1.0,0.9657009657009658
bien_do,EURUSD,may_den,2,3050,62.0,0.5596540920947595,0.048923185789080635,1,0.45445738279364467,0.44155844155844154,1.0,0.9280492235037688
bien_do,EURUSD,sao_mai,1,3050,194.0,0.8277481354016359,-0.03440299029297583,-1,0.3629964492651432,0.34565434565434566,1.0,0.8939778170547402
bien_do,EURUSD,sao_mai,2,3050,194.0,0.7350414802131697,-0.03241922989934085,-1,0.3913213398459843,0.3336663336663337,1.0,0.8937491080348224
bien_do,EURUSD,sao_hom,1,3050,192.0,0.25717233981613785,-0.019270404711005974,-1,0.6121061829853081,0.5814185814185814,1.0,0.9352577717188977
bien_do,EURUSD,sao_hom,2,3050,192.0,0.48708730496289154,-0.02651972383262026,-1,0.48528272971772235,0.44655344655344653,1.0,0.9280492235037688
bien_do,EURUSD,ba_linh_trang,1,3050,339.0,0.2432949543187471,0.01448951573022595,1,0.6218719346533257,0.6583416583416584,1.0,0.9504780933352363
bien_do,EURUSD,ba_linh_trang,2,3050,339.0,1.1943597213470585,-0.032097610482960844,-1,0.274538305528383,0.3646353646353646,1.0,0.9039347749025168
bien_do,EURUSD,ba_qua_den,1,3050,325.0,0.12777646171385876,0.0106952080891306,1,0.7207734684240921,0.7622377622377622,1.0,0.9657009657009658
bien_do,EURUSD,ba_qua_den,2,3050,325.0,0.4946667850420553,0.021045083078421865,1,0.48190664721443643,0.5644355644355644,1.0,0.9313267377783506
bien_do,EURUSD,gap,1,3050,,3.268548826335366,-19.389291972518308,-1,0.07071863273899381,0.07192807192807193,1.0,0.5911896322855227
bien_do,EURUSD,gap,2,3050,,0.0006720894243156995,0.2782602907932919,1,0.9793191065023753,0.981018981018981,1.0,0.9976667739605971
bien_do,EURUSD,abs_gap,1,3050,,19.70854354078618,49.110677827828304,1,9.340054215711824e-06,0.000999000999000999,0.023976023976023976,0.06660006660006661
bien_do,EURUSD,abs_gap,2,3050,,28.519333936944424,59.065036206036694,1,9.958494995299105e-08,0.000999000999000999,0.001998001998001998,0.06660006660006661
bien_do,GBPUSD,than,1,3050,,0.0036202350336939906,-0.002058310685669751,-1,0.9520254678734078,0.942057942057942,1.0,0.9976667739605971
bien_do,GBPUSD,than,2,3050,,1.1095869723338097,0.03604019163098197,1,0.29225527202252854,0.25574425574425574,1.0,0.8301858569238248
bien_do,GBPUSD,bong_tren,1,3050,,1.8052242824458478,0.05974613660079599,1,0.17918223281134482,0.17782217782217782,1.0,0.7796399404791013
bien_do,GBPUSD,bong_tren,2,3050,,0.0741585718207891,-0.012106818361856156,-1,0.7853938812444761,0.7742257742257742,1.0,0.9657009657009658
bien_do,GBPUSD,bong_duoi,1,3050,,1.6088281978937327,-0.05654295884422955,-1,0.20475349817707345,0.18981018981018982,1.0,0.779989241527703
bien_do,GBPUSD,bong_duoi,2,3050,,1.2087795346573709,-0.04901612784893457,-1,0.27166082529114044,0.27172827172827174,1.0,0.832003817078444
bien_do,GBPUSD,vi_tri_dong,1,3050,,2.155816810702431,-0.04338640781549573,-1,0.142134115168286,0.13286713286713286,1.0,0.7437007437007437
bien_do,GBPUSD,vi_tri_dong,2,3050,,5.01242358720436,-0.06610680938112012,-1,0.025237966665978995,0.028971028971028972,1.0,0.46484128116781176
bien_do,GBPUSD,huong,1,3050,,0.28609747005278735,-0.004637561768991376,-1,0.5927713151186135,0.6153846153846154,1.0,0.9393138507062558
bien_do,GBPUSD,huong,2,3050,,4.097247641207682,-0.01753969558036969,-1,0.04304017184791897,0.03696303696303696,1.0,0.46484128116781176
bien_do,GBPUSD,lr_park,1,3050,,10.901825672182717,0.052565336134562456,1,0.0009717758787438635,0.000999000999000999,0.5124875124875125,0.06660006660006661
bien_do,GBPUSD,lr_park,2,3050,,2.5288229928468717,0.025365465190793995,1,0.1118873107888887,0.08491508491508491,1.0,0.6213298896225725
bien_do,GBPUSD,lr_gk,1,3050,,12.540591486449888,0.06483734634724467,1,0.0004041728762975705,0.001998001998001998,0.27672327672327673,0.09221547683086145
bien_do,GBPUSD,lr_gk,2,3050,,0.8506835071903289,0.016928348927777316,1,0.35643207296982904,0.32867132867132864,1.0,0.892320349333924
