W,mau,dich,n,lift,z,p_tho,p_wy,p_wy_xoay,p_wy_k5,q_fdr
3,MEDIUM → MEDIUM → HIGH,LOW,880,0.32011941951045914,-13.81905693831667,0.0,0.399,0.0,0.995,0.0
4,HIGH → MEDIUM → HIGH → HIGH,LOW,424,0.022140471246727453,-13.799156431193648,0.0,0.399,0.0,0.995,0.0
3,HIGH → MEDIUM → MEDIUM,MEDIUM,936,1.606938016485755,13.35929463279501,0.0,0.399,0.0,0.995,0.0
4,LOW → MEDIUM → LOW → LOW,HIGH,480,0.15351850587271237,-13.289027072061865,0.0,0.399,0.0,0.995,0.0
4,HIGH → HIGH → MEDIUM → HIGH,LOW,446,0.0912094749715708,-13.152985986118509,0.0,0.399,0.0,0.995,0.0
3,LOW → LOW → MEDIUM,LOW,925,1.6310132490036797,13.149637417915546,0.0,0.399,0.0,0.995,0.0
2,MEDIUM → MEDIUM,HIGH,3698,0.7014572253105069,-13.019691936136955,0.0,0.399,0.0,0.995,0.0
4,LOW → LOW → MEDIUM → LOW,HIGH,482,0.19568831951907567,-12.653276382991553,0.0,0.48,0.0,0.995,0.0
3,HIGH → MEDIUM → MEDIUM,LOW,936,0.4046333783175889,-12.480352184714924,0.0,0.562,0.0,0.995,0.0
4,HIGH → HIGH → HIGH → MEDIUM,HIGH,604,1.6933802872952963,12.210826468087605,0.0,0.705,0.0,0.995,0.0
2,MEDIUM → MEDIUM,LOW,3698,0.7128826674941088,-11.960755971327188,0.0,0.821,0.0,0.999,0.0
3,MEDIUM → HIGH → MEDIUM,MEDIUM,755,1.5844218407232153,11.553170331843177,0.0,0.939,0.0,1.0,0.0
3,MEDIUM → MEDIUM → LOW,LOW,842,1.5798979004606983,11.529540939245912,0.0,0.941,0.0,1.0,0.0
4,HIGH → HIGH → MEDIUM → MEDIUM,LOW,415,0.19604542572202685,-11.22402683842176,0.0,0.985,0.0,1.0,0.0
4,MEDIUM → MEDIUM → MEDIUM → LOW,HIGH,468,0.2771205849599731,-11.205826238436048,0.0,0.987,0.0,1.0,0.0
4,MEDIUM → MEDIUM → HIGH → HIGH,LOW,392,0.17561761546723953,-11.185743961871525,0.0,0.989,0.0,1.0,0.0
3,LOW → MEDIUM → MEDIUM,HIGH,789,0.46672381157952414,-10.738006472232641,0.0,0.998,0.0,1.0,0.0
3,LOW → MEDIUM → MEDIUM,MEDIUM,789,1.5272932331991889,10.655944805898754,0.0,0.998,0.0,1.0,0.0
4,MEDIUM → MEDIUM → LOW → LOW,HIGH,425,0.28435239487764513,-10.571796308929295,0.0,0.998,0.0,1.0,0.0
4,MEDIUM → MEDIUM → HIGH → HIGH,HIGH,392,1.744471511631148,10.562001296735701,0.0,0.999,0.0,1.0,0.0
4,MEDIUM → MEDIUM → LOW → LOW,LOW,425,1.7449817056009005,10.525269155567589,0.0,0.999,0.0,1.0,0.0
3,MEDIUM → LOW → MEDIUM,HIGH,679,0.4382062305856931,-10.49408972341198,0.0,1.0,0.0,1.0,0.0
