W,mau,dich,n,lift,z,p_tho,p_wy,p_wy_xoay,p_wy_k5,q_fdr
4,HIGH → LOW → LOW → MEDIUM,MEDIUM,47,1.6838476453573215,3.373658804099026,0.0007417624679331158,1.0,0.253,1.0,0.0013257031341783348
4,HIGH → LOW → HIGH → HIGH,LOW,24,0.0,-3.3573665442366507,0.0007868872006817629,1.0,0.262,1.0,0.0013989105789898007
3,HIGH → LOW → MEDIUM,LOW,158,0.6141250185826529,-3.3233769138891334,0.0008893466061237199,1.0,0.289,1.0,0.0015727392613556308
3,LOW → HIGH → HIGH,HIGH,108,1.4457029354682192,3.3203994996236452,0.0008988871665782661,1.0,0.29,1.0,0.0015812884186926564
4,HIGH → HIGH → LOW → HIGH,LOW,23,0.0,-3.286677226472237,0.001013769597362657,1.0,0.303,1.0,0.0017740967953846498
4,MEDIUM → HIGH → MEDIUM → LOW,MEDIUM,125,1.4069482547874508,3.274063286873627,0.0010601286528646447,1.0,0.306,1.0,0.001845612577007879
4,LOW → MEDIUM → MEDIUM → HIGH,LOW,125,0.5757703349282296,-3.250492573905101,0.0011520527717527873,1.0,0.324,1.0,0.0019953078933450338
4,MEDIUM → MEDIUM → HIGH → LOW,MEDIUM,90,1.465571098736928,3.1783384412877425,0.0014812174079374962,1.0,0.374,1.0,0.0025522515336769166
4,MEDIUM → HIGH → MEDIUM → HIGH,MEDIUM,222,1.2939276367226933,3.151445370531073,0.0016246455110902058,1.0,0.391,1.0,0.0027851065904403527
4,MEDIUM → HIGH → LOW → HIGH,MEDIUM,23,1.9116144766133842,3.146067268562437,0.0016548194019083695,1.0,0.393,1.0,0.0028224330915797573
4,HIGH → LOW → MEDIUM → MEDIUM,MEDIUM,88,1.465571098736928,3.1428251653008186,0.0016732575002724737,1.0,0.393,1.0,0.0028394672731896524
3,HIGH → MEDIUM → LOW,MEDIUM,248,1.2768200198902095,3.1363505557772546,0.001710645946422229,1.0,0.399,1.0,0.002888326824109894
4,HIGH → LOW → MEDIUM → LOW,LOW,31,1.81694705973144,3.117223190690863,0.0018256330150223654,1.0,0.41,1.0,0.003067063465237574
4,MEDIUM → HIGH → MEDIUM → MEDIUM,HIGH,408,0.7874596301235599,-3.0762853203616523,0.002095971745272207,1.0,0.434,1.0,0.0035037139622460774
4,LOW → HIGH → MEDIUM → MEDIUM,MEDIUM,113,1.400722820031754,3.0653224776708026,0.0021743541493106644,1.0,0.434,1.0,0.003601742369715972
4,LOW → MEDIUM → LOW → MEDIUM,MEDIUM,221,1.2865194260405612,3.065088950379834,0.0021760526817034,1.0,0.434,1.0,0.003601742369715972
4,MEDIUM → MEDIUM → MEDIUM → HIGH,HIGH,453,1.1972410100377886,3.00816336809596,0.0026283180663948524,1.0,0.483,1.0,0.004328994462297404
4,MEDIUM → MEDIUM → LOW → HIGH,LOW,67,0.46704277654788257,-2.989667509461659,0.0027928126767942096,1.0,0.494,1.0,0.004577488094648071
4,MEDIUM → LOW → LOW → MEDIUM,LOW,289,1.2560056952699459,2.9825771474276555,0.0028583260066781246,1.0,0.496,1.0,0.004662123972057524
3,LOW → MEDIUM → LOW,MEDIUM,759,0.8537055537274021,-2.8996794458875534,0.0037354445925368296,1.0,0.565,1.0,0.00606333035310326
4,LOW → LOW → LOW → HIGH,MEDIUM,140,1.3399507188451913,2.894495340737301,0.003797685456769395,1.0,0.566,1.0,0.006134722660935177
2,LOW → HIGH,LOW,449,0.8019076755556546,-2.875455060224189,0.004034455727455644,1.0,0.575,1.0,0.0064860149494023744
4,LOW → MEDIUM → HIGH → MEDIUM,HIGH,106,0.6117567630248463,-2.8642566587091958,0.004179891775074829,1.0,0.584,1.0,0.006687826840119726
4,HIGH → HIGH → HIGH → LOW,LOW,43,0.3638589073105597,-2.8587805316039208,0.004252728966162467,1.0,0.584,1.0,0.006772118164126014
4,HIGH → HIGH → HIGH → MEDIUM,MEDIUM,604,1.1598393794639925,2.8268002905874456,0.004701563924426777,1.0,0.61,1.0,0.007451535276449987
4,HIGH → HIGH → MEDIUM → MEDIUM,HIGH,415,1.1932272109470385,2.820638523976262,0.004792817560262286,1.0,0.61,1.0,0.007560500940132057
4,LOW → LOW → LOW → HIGH,LOW,140,1.34107997265892,2.765752890217032,0.0056791551582104915,1.0,0.654,1.0,0.008916804360554791
4,HIGH → HIGH → MEDIUM → LOW,HIGH,58,0.5081991918544961,-2.683850586035913,0.007277962404108607,1.0,0.731,1.0,0.011373931943165078
4,LOW → MEDIUM → HIGH → LOW,HIGH,29,0.30491951511269766,-2.6821878685050367,0.007314237153277947,1.0,0.731,1.0,0.011377702238432362
4,HIGH → HIGH → HIGH → LOW,MEDIUM,43,1.5678202451604346,2.6794025959007572,0.007375365771462139,1.0,0.732,1.0,0.011419921194522021
4,LOW → MEDIUM → HIGH → HIGH,HIGH,79,1.417811416262417,2.661024956485199,0.007790318272703489,1.0,0.75,1.0,0.012007096053341158
4,LOW → HIGH → MEDIUM → MEDIUM,HIGH,113,0.6521140072469198,-2.649910853644584,0.00805130120260733,1.0,0.75,1.0,0.012352681297150973
3,MEDIUM → HIGH → MEDIUM,HIGH,755,0.8662295034558546,-2.6349160477790363,0.008415809536090002,1.0,0.757,1.0,0.012853236382392002
4,HIGH → HIGH → MEDIUM → HIGH,MEDIUM,446,0.8280805311249011,-2.612674841352464,0.008983672795651376,1.0,0.775,1.0,0.013658434657641912
4,HIGH → MEDIUM → LOW → HIGH,LOW,30,0.3129186602870813,-2.5790628083909257,0.009906877210599241,1.0,0.796,1.0,0.014994192534961013
4,LOW → MEDIUM → LOW → HIGH,MEDIUM,58,1.465571098736928,2.551484196278509,0.010726518871165602,1.0,0.82,1.0,0.016161929778975976
4,MEDIUM → HIGH → LOW → MEDIUM,LOW,76,0.5764291110551498,-2.530614767792292,0.011386282776145507,1.0,0.838,1.0,0.01707942416421826
4,MEDIUM → LOW → HIGH → HIGH,LOW,51,0.4908528004503237,-2.4918482161812348,0.01270803311116353,1.0,0.864,1.0,0.018977329446004207
4,HIGH → MEDIUM → LOW → MEDIUM,MEDIUM,108,1.3298700710761013,2.4668779603756907,0.01362968015010435,1.0,0.877,1.0,0.02026359526741178
3,HIGH → LOW → MEDIUM,HIGH,158,0.7271675142335968,-2.458428550772037,0.013954654102604769,1.0,0.878,1.0,0.02065534704174098
4,MEDIUM → LOW → LOW → HIGH,HIGH,77,0.6124790260272369,-2.436664157917432,0.014823439481494782,1.0,0.887,1.0,0.021845068709571258
3,HIGH → HIGH → LOW,LOW,90,0.6260113092648978,-2.430995516414999,0.015057400888720984,1.0,0.889,1.0,0.022092955015765286
3,MEDIUM → LOW → MEDIUM,LOW,679,1.134011650067488,2.3926648823224426,0.016726510732464783,1.0,0.908,1.0,0.024435250461339857
2,MEDIUM → LOW,MEDIUM,1849,1.076988732415678,2.3812517693723483,0.017253914992013675,1.0,0.908,1.0,0.025096603624747162
4,MEDIUM → LOW → LOW → HIGH,LOW,77,0.6095818057540545,-2.347840276733079,0.018882616631276328,1.0,0.914,1.0,0.02734723787977951
4,HIGH → LOW → MEDIUM → MEDIUM,LOW,88,0.6400608960417573,-2.3140008003084698,0.020667678240306353,1.0,0.936,1.0,0.029804033857265814
4,LOW → MEDIUM → MEDIUM → MEDIUM,LOW,411,1.164879684280376,2.2907684636054677,0.0219768085133909,1.0,0.946,1.0,0.03155644299358693
4,MEDIUM → LOW → HIGH → LOW,LOW,29,1.6185447945883518,2.2827759736489823,0.02244356792143032,1.0,0.946,1.0,0.03208952690042803
4,MEDIUM → HIGH → LOW → LOW,HIGH,60,0.5895110625512155,-2.278411595515816,0.022702066182765712,1.0,0.946,1.0,0.032220816835923344
4,LOW → HIGH → LOW → MEDIUM,HIGH,33,0.4465992898115269,-2.2779898338840834,0.022727183303910214,1.0,0.946,1.0,0.032220816835923344
3,HIGH → LOW → HIGH,MEDIUM,58,1.415427557170756,2.276200745988727,0.022833997296969555,1.0,0.946,1.0,0.03223623147807467
4,LOW → LOW → MEDIUM → HIGH,HIGH,74,0.6373092568121249,-2.2356686184876855,0.025373486118859256,1.0,0.953,1.0,0.035671511865843976
4,MEDIUM → HIGH → HIGH → HIGH,MEDIUM,588,0.8723637492481714,-2.2271813164525462,0.025935158284946302,1.0,0.955,1.0,0.03630922159892482
4,HIGH → MEDIUM → LOW → HIGH,MEDIUM,30,1.563275838652723,2.220110666268593,0.026411256342017797,1.0,0.955,1.0,0.036822332493435604
4,HIGH → MEDIUM → MEDIUM → LOW,LOW,121,1.2930523152358733,2.209179372889936,0.027162167024810113,1.0,0.955,1.0,0.03771276082783553
3,MEDIUM → HIGH → HIGH,MEDIUM,895,0.8976047381706964,-2.203903838025834,0.02753110758763433,1.0,0.955,1.0,0.03806770431870426
4,MEDIUM → HIGH → LOW → MEDIUM,HIGH,76,0.659321583116491,-2.128170976492553,0.033322910267380434,1.0,0.973,1.0,0.045887286269835355
4,HIGH → LOW → MEDIUM → LOW,HIGH,31,0.47541214721872216,-2.0929274612586615,0.03635563041184375,1.0,0.979,1.0,0.049859150279100005
4,MEDIUM → MEDIUM → HIGH → LOW,LOW,90,1.3212121212121213,2.088364575108946,0.03676496046833777,1.0,0.981,1.0,0.05021555576163208
4,HIGH → HIGH → MEDIUM → LOW,MEDIUM,58,1.3644972298585192,1.997565837085627,0.04576375010122136,1.0,0.99,1.0,0.062253522404900306
4,LOW → HIGH → LOW → LOW,MEDIUM,70,0.6699753594225957,-1.9869560451618236,0.04692726799814495,1.0,0.99,1.0,0.06357887922329315
4,HIGH → MEDIUM → LOW → MEDIUM,HIGH,108,0.7368888281890194,-1.9593240352910037,0.050074850683908156,1.0,0.991,1.0,0.06757088285057486
4,MEDIUM → HIGH → LOW → HIGH,LOW,23,0.4081547742874974,-1.9452042249456032,0.05175040355704419,1.0,0.991,1.0,0.0695525423806674
4,MEDIUM → HIGH → MEDIUM → LOW,LOW,125,1.2516746411483253,1.9283577256542475,0.053810646241809534,1.0,0.991,1.0,0.07203337504879682
4,LOW → HIGH → MEDIUM → HIGH,HIGH,48,0.6140740234908495,-1.9159304066869287,0.0553739545297498,1.0,0.992,1.0,0.07383193937299974
4,MEDIUM → HIGH → HIGH → LOW,HIGH,33,0.5359191477738323,-1.9103182269343817,0.05609225235628479,1.0,0.994,1.0,0.0744940584652636
4,MEDIUM → MEDIUM → HIGH → MEDIUM,HIGH,398,0.8664923909358319,-1.9085460970615646,0.0563206711647255,1.0,0.994,1.0,0.07450293508404633
4,MEDIUM → LOW → HIGH → LOW,HIGH,29,0.5081991918544961,-1.8977689490774838,0.057726525270443974,1.0,0.997,1.0,0.07606318623870265
4,HIGH → LOW → LOW → MEDIUM,LOW,47,0.5992059452305812,-1.8830564406604526,0.05969271952770905,1.0,0.997,1.0,0.07834669438011813
4,LOW → MEDIUM → LOW → HIGH,HIGH,58,0.6606589494108449,-1.851848680208543,0.0640475550467452,1.0,0.998,1.0,0.08373532488601707
4,MEDIUM → MEDIUM → LOW → HIGH,MEDIUM,67,1.3124517302121743,1.8404041691089756,0.06570892184621191,1.0,0.998,1.0,0.08557440984622947
4,HIGH → MEDIUM → MEDIUM → HIGH,MEDIUM,302,1.1452807261652813,1.8167883926964932,0.06924952080453806,1.0,0.998,1.0,0.08983721617886017
4,LOW → MEDIUM → HIGH → MEDIUM,MEDIUM,106,1.2443528196822973,1.8103525607096025,0.0702411309816322,1.0,0.998,1.0,0.09077315388395546
4,MEDIUM → LOW → HIGH → MEDIUM,MEDIUM,75,1.2897025668884967,1.8054100184307211,0.07101054459748424,1.0,0.998,1.0,0.09141587350480729
4,HIGH → LOW → HIGH → MEDIUM,MEDIUM,28,1.4655710987369277,1.7727924830813828,0.07626309945583643,1.0,0.998,1.0,0.0978030588441261
4,LOW → LOW → HIGH → HIGH,LOW,33,0.5689430187037843,-1.6970115208825782,0.08969448242600464,1.0,0.999,1.0,0.11415661399673317
4,MEDIUM → HIGH → HIGH → LOW,LOW,33,0.5689430187037843,-1.6970115208825782,0.08969448242600464,1.0,0.999,1.0,0.11415661399673317
3,HIGH → HIGH → LOW,HIGH,90,0.7528566229985444,-1.6807503057574007,0.09281142481564952,1.0,0.999,1.0,0.11767788203040845
4,LOW → HIGH → MEDIUM → HIGH,LOW,48,0.6519138755980861,-1.6527245101778638,0.09838694375217583,1.0,0.999,1.0,0.12427824473959051
4,MEDIUM → HIGH → LOW → LOW,LOW,60,1.3038277511961722,1.6128582570803909,0.10677530590283824,1.0,0.999,1.0,0.13436892428222338
4,HIGH → LOW → HIGH → MEDIUM,LOW,28,0.5587833219412167,-1.600015072083349,0.1095952398233011,1.0,0.999,1.0,0.13740298724115363
4,MEDIUM → LOW → HIGH → MEDIUM,HIGH,75,0.7467140125648729,-1.5717985910932104,0.11599726840482827,1.0,1.0,1.0,0.1443992655574111
4,LOW → LOW → MEDIUM → MEDIUM,LOW,369,1.1193838254172015,1.5716354329070505,0.11603512410863392,1.0,1.0,1.0,0.1443992655574111
3,MEDIUM → HIGH → LOW,LOW,159,1.1811534137073545,1.5651267646160172,0.11755318905211398,1.0,1.0,1.0,0.14574860340040702
4,HIGH → LOW → LOW → MEDIUM,HIGH,47,0.6898533710705713,-1.5236004544970456,0.12760854957871826,1.0,1.0,1.0,0.1576340906560637
4,LOW → MEDIUM → HIGH → LOW,LOW,29,1.4027388219765715,1.4863313288015911,0.13719150394071433,1.0,1.0,1.0,0.1688510817731869
4,HIGH → MEDIUM → HIGH → LOW,MEDIUM,40,1.319013988863235,1.4518862630767753,0.14653323275058305,1.0,1.0,1.0,0.1796903876065544
4,LOW → MEDIUM → HIGH → HIGH,MEDIUM,79,1.224401171096674,1.4352631607254973,0.15121212128055883,1.0,1.0,1.0,0.1847537190918828
4,LOW → LOW → MEDIUM → HIGH,LOW,74,0.7611534979956032,-1.4080817921884647,0.15910685188031293,1.0,1.0,1.0,0.1936952979412505
4,LOW → LOW → HIGH → HIGH,HIGH,33,1.3397978694345807,1.398726235612932,0.16189509369434596,1.0,1.0,1.0,0.19637816419241966
4,MEDIUM → LOW → HIGH → HIGH,HIGH,51,1.2714944486398765,1.3893163330258298,0.16473657942070008,1.0,1.0,1.0,0.19910608160199722
4,LOW → HIGH → LOW → MEDIUM,MEDIUM,33,1.3323373624881163,1.373817397907486,0.16949837852680494,1.0,1.0,1.0,0.2041270795161522
4,LOW → HIGH → HIGH → MEDIUM,MEDIUM,41,1.2868429159641317,1.3216879492680247,0.18627208310810772,1.0,1.0,1.0,0.22352649972972927
4,HIGH → MEDIUM → HIGH → LOW,LOW,40,0.704066985645933,-1.2826747663405,0.1996060439566678,1.0,1.0,1.0,0.23867484259587327
4,MEDIUM → HIGH → LOW → HIGH,HIGH,23,0.6407728940774081,-1.2344915369621674,0.21701979837789942,1.0,1.0,1.0,0.25857678104600784
3,LOW → HIGH → LOW,MEDIUM,115,0.8413442063431139,-1.22406961837403,0.22092596596331382,1.0,1.0,1.0,0.2623007935112136
4,LOW → MEDIUM → HIGH → LOW,MEDIUM,29,1.3139602954193148,1.216652635265323,0.22373640725495947,1.0,1.0,1.0,0.2647022283016422
3,HIGH → LOW → HIGH,HIGH,58,1.219018220147568,1.1957137122672148,0.23180829845131234,1.0,1.0,1.0,0.2732897834373367
4,MEDIUM → MEDIUM → LOW → HIGH,HIGH,67,1.1878207976778223,1.1016310837766679,0.27062208906254037,1.0,1.0,1.0,0.317933643094453
3,HIGH → MEDIUM → MEDIUM,HIGH,936,0.9505129604747509,-1.085331394383092,0.27777490599421806,1.0,1.0,1.0,0.3251998899444504
4,LOW → MEDIUM → HIGH → MEDIUM,LOW,106,1.1513045048298276,1.0675738536561756,0.28571278302087744,1.0,1.0,1.0,0.3333315801910237
4,MEDIUM → LOW → HIGH → HIGH,MEDIUM,51,1.206940904842176,1.06346770237927,0.28756990439218644,1.0,1.0,1.0,0.33433732828987767
3,LOW → HIGH → MEDIUM,LOW,226,0.9002375022614681,-1.0276044284152155,0.3041359402633188,1.0,1.0,1.0,0.3523781928568107
4,LOW → LOW → HIGH → LOW,MEDIUM,80,0.8427033817737336,-1.0124119257431985,0.3113411385965592,1.0,1.0,1.0,0.35948667549293434
4,HIGH → LOW → MEDIUM → LOW,MEDIUM,31,0.756423792896479,-0.9759073379739007,0.32911038542931603,1.0,1.0,1.0,0.3787023613159253
3,LOW → MEDIUM → HIGH,HIGH,214,1.0875275476472268,0.9178772689906638,0.3586831233323102,1.0,1.0,1.0,0.4109600811152926
4,LOW → HIGH → LOW → MEDIUM,LOW,33,1.2327098738581992,0.9161464820102716,0.359590070975881,1.0,1.0,1.0,0.4109600811152926
4,HIGH → LOW → MEDIUM → MEDIUM,HIGH,88,0.8708686151324775,-0.8680170267119218,0.38538501161812366,1.0,1.0,1.0,0.4389469962836933
3,LOW → HIGH → HIGH,MEDIUM,108,1.11305778139949,0.8453053141265984,0.3979403947855351,1.0,1.0,1.0,0.4517161238106075
4,HIGH → HIGH → LOW → HIGH,MEDIUM,23,0.7646457906453537,-0.812229504427961,0.4166599526721144,1.0,1.0,1.0,0.4713728757502708
4,MEDIUM → LOW → MEDIUM → HIGH,HIGH,101,1.1089812067795144,0.7848151880066795,0.4325619338745845,1.0,1.0,1.0,0.4877208381941624
4,MEDIUM → HIGH → HIGH → MEDIUM,HIGH,274,0.9359025993057619,-0.7602751561802007,0.4470901288942022,1.0,1.0,1.0,0.5024156632389697
4,LOW → MEDIUM → LOW → HIGH,LOW,58,0.863223890447121,-0.7138671226852736,0.4753093489670861,1.0,1.0,1.0,0.5323464708431364
4,LOW → HIGH → HIGH → MEDIUM,LOW,41,0.8395378690629012,-0.7041377387576389,0.48134700003254194,1.0,1.0,1.0,0.5373175814316747
4,HIGH → HIGH → MEDIUM → LOW,LOW,58,1.1329813562118463,0.6940614003429803,0.48764370404910773,1.0,1.0,1.0,0.5425439886109278
4,MEDIUM → HIGH → LOW → LOW,MEDIUM,60,1.1236045090316447,0.6889739668199534,0.4908396503162784,1.0,1.0,1.0,0.5442974340140909
3,LOW → LOW → HIGH,LOW,236,1.0610361173981318,0.6424618364573673,0.5205733609276544,1.0,1.0,1.0,0.5753705568147759
4,LOW → HIGH → HIGH → MEDIUM,HIGH,41,0.862699115928608,-0.6299707154781661,0.528713744273712,1.0,1.0,1.0,0.5824518625441548
3,HIGH → MEDIUM → HIGH,MEDIUM,716,1.0319178559261657,0.6144569826675953,0.5389133909903019,1.0,1.0,1.0,0.5917480371658217
4,LOW → LOW → LOW → MEDIUM,MEDIUM,589,0.9654356304073481,-0.6036415990310819,0.5460819495269087,1.0,1.0,1.0,0.5961219387843433
3,HIGH → LOW → LOW,MEDIUM,148,0.9310944789689866,-0.6030955741643044,0.5464451105523147,1.0,1.0,1.0,0.5961219387843433
4,HIGH → MEDIUM → LOW → MEDIUM,LOW,108,0.9271664008506114,-0.5187245312585731,0.6039528523373334,1.0,1.0,1.0,0.6567254316677801
4,HIGH → MEDIUM → MEDIUM → MEDIUM,HIGH,511,0.9690592809061076,-0.5011825627391655,0.6162426450967791,1.0,1.0,1.0,0.667927512104896
4,LOW → MEDIUM → MEDIUM → LOW,MEDIUM,253,1.0426988054254822,0.4887298428552307,0.625032972966173,1.0,1.0,1.0,0.6752767810824248
4,HIGH → LOW → LOW → LOW,MEDIUM,82,1.0723690966367765,0.4715773643045869,0.6372284867136782,1.0,1.0,1.0,0.6862460626147303
4,MEDIUM → MEDIUM → HIGH → HIGH,MEDIUM,392,1.031881691967837,0.45423152063986866,0.6496621982398909,1.0,1.0,1.0,0.6974009540210969
4,LOW → LOW → HIGH → MEDIUM,LOW,123,0.9413000350099194,-0.44615271021426306,0.6554869398855854,1.0,1.0,1.0,0.7014127764380786
4,HIGH → LOW → MEDIUM → HIGH,MEDIUM,39,0.9018899069150327,-0.44089874680684366,0.6592863009590912,1.0,1.0,1.0,0.7032387210230308
4,LOW → HIGH → MEDIUM → MEDIUM,LOW,113,0.9415251725452004,-0.4259918676099802,0.670113771877914,1.0,1.0,1.0,0.71252603592082
4,MEDIUM → LOW → MEDIUM → LOW,MEDIUM,246,1.0366234600822173,0.41335176797209705,0.6793489067389133,1.0,1.0,1.0,0.7200669800134853
4,HIGH → MEDIUM → LOW → LOW,MEDIUM,109,1.0487573000135815,0.36630746578937556,0.7141356592864092,1.0,1.0,1.0,0.75353492637554
4,MEDIUM → LOW → MEDIUM → MEDIUM,LOW,332,0.9708018677581138,-0.36460049221851104,0.7154096473624918,1.0,1.0,1.0,0.75353492637554
4,MEDIUM → LOW → HIGH → LOW,MEDIUM,29,0.9096648199056795,-0.3500650767707274,0.7262898593449423,1.0,1.0,1.0,0.7626043523121894
4,HIGH → MEDIUM → LOW → HIGH,HIGH,30,1.080770281343895,0.317005883425631,0.7512391379986381,1.0,1.0,1.0,0.7863437706153968
4,LOW → HIGH → HIGH → HIGH,MEDIUM,53,0.9401776859821801,-0.3133964091794748,0.7539795119801294,1.0,1.0,1.0,0.7867612298923089
4,LOW → HIGH → MEDIUM → LOW,MEDIUM,65,0.9469844022607843,-0.30757654470992163,0.7584045701335662,1.0,1.0,1.0,0.7889285930801184
4,HIGH → MEDIUM → HIGH → MEDIUM,HIGH,251,0.9746896054133642,-0.28733655206205216,0.7738546376102322,1.0,1.0,1.0,0.8025159204846852
3,MEDIUM → LOW → HIGH,HIGH,155,0.9693161008592759,-0.27384786739672884,0.7842015362883208,1.0,1.0,1.0,0.8094885114017006
4,LOW → LOW → HIGH → HIGH,MEDIUM,33,1.065869889990493,0.2722931908398572,0.7853965914195071,1.0,1.0,1.0,0.8094885114017006
4,LOW → MEDIUM → MEDIUM → HIGH,HIGH,125,0.9667981425839934,-0.26599439553165455,0.7902435253098421,1.0,1.0,1.0,0.8119933471073606
4,MEDIUM → LOW → HIGH → MEDIUM,LOW,75,0.9596172248803827,-0.23967345130414422,0.8105834179204414,1.0,1.0,1.0,0.8303537451867936
4,MEDIUM → MEDIUM → LOW → LOW,MEDIUM,425,1.0138303600674277,0.20517329121012215,0.8374367360605091,1.0,1.0,1.0,0.8552545389554136
4,HIGH → LOW → HIGH → MEDIUM,HIGH,28,0.9474284933858821,-0.19933544892528324,0.8420003513092393,1.0,1.0,1.0,0.8573094486057711
4,HIGH → MEDIUM → HIGH → LOW,HIGH,40,0.9579554766457251,-0.1905436712254628,0.8488831252894276,1.0,1.0,1.0,0.8617061332243131
4,HIGH → HIGH → HIGH → LOW,HIGH,43,1.0282169695660734,0.13258661928964086,0.8945203152447261,1.0,1.0,1.0,0.9052976684404457
4,HIGH → HIGH → LOW → MEDIUM,HIGH,49,1.0226212309561902,0.11346694795283212,0.90966036553184,1.0,1.0,1.0,0.9178555039600549
4,MEDIUM → MEDIUM → LOW → MEDIUM,LOW,350,0.9923991797676007,-0.09745129638323469,0.9223680099196627,1.0,1.0,1.0,0.9278911716557087
4,HIGH → LOW → HIGH → HIGH,MEDIUM,24,0.9770473991579519,-0.08091525332323543,0.9355093493447113,1.0,1.0,1.0,0.9383019145666358
3,LOW → MEDIUM → MEDIUM,LOW,789,1.003680996476674,0.07084485846374462,0.9435212296009965,1.0,1.0,1.0,0.9435212296009965
