truc,pair,bien,lag,n,F,q,p_tiem_can,p_hac,cot_manh,he_so,t_manh,dau,p_hoan_vi,p_wy,q_fdr
bien_do,AUDUSD,DGS2,1,3050,4.424535460162145,6,0.0001835615911964794,0.003929359230696927,DGS2_ad1_L1,-0.022167515138630065,-3.2352698901781594,-1,0.061938061938061936,1.0,0.2543171114599686
bien_do,AUDUSD,DGS2,2,3050,3.9053220875433343,6,0.0006851773445450959,0.0018792942139755908,DGS2_ad1_L2,-0.021989318223536298,-3.329481767463474,-1,0.1038961038961039,1.0,0.35467980295566504
bien_do,AUDUSD,DGS2,5,3050,3.837887473312398,6,0.000811460620152249,0.0592452568546844,DGS2_ad1_L5,0.020196051384002482,3.0255610348087814,1,0.11288711288711288,1.0,0.36566676566676565
bien_do,AUDUSD,DGS10,1,3050,5.807095426696297,6,4.998626997543276e-06,1.969085714481622e-07,DGS10_rv20_L1,0.03386355338520615,3.214698654113755,1,0.029970029970029972,0.99000999000999,0.17625938418017625
bien_do,AUDUSD,DGS10,2,3050,5.330801706324126,6,1.752108950081599e-05,6.446123474446175e-06,DGS10_rv20_L2,0.034096654899676025,3.252597189303741,1,0.04295704295704296,0.997002997002997,0.21442423123095394
bien_do,AUDUSD,DGS10,5,3050,10.654396739095345,6,9.563350111818636e-12,1.5278112108774167e-11,DGS10_ad1_L5,0.05960128088726447,6.789961745930023,1,0.000999000999000999,0.2757242757242757,0.016483516483516484
bien_do,AUDUSD,T10Y2Y,1,3050,2.9663616626473805,6,0.006866394563463718,0.009013256526923086,T10Y2Y_ad1_L1,-0.02369971598411201,-2.58125149849568,-1,0.21678321678321677,1.0,0.49526627218934915
bien_do,AUDUSD,T10Y2Y,2,3050,3.0414829217355854,6,0.00573672835861172,0.0301690069754319,T10Y2Y_ad1_L2,-0.025462558932914908,-2.8331767515913677,-1,0.2017982017982018,1.0,0.48529608043778083
bien_do,AUDUSD,T10Y2Y,5,3050,10.640197056064112,6,9.945599899197077e-12,1.8627832609752204e-10,T10Y2Y_ad1_L5,0.06146958450646195,6.840819724654341,1,0.000999000999000999,0.27672327672327673,0.016483516483516484
bien_do,AUDUSD,DFII10,1,3050,9.801464387581289,6,1.0028156083308204e-10,3.790812108661612e-11,DFII10_ad5_L1,0.04240296267768822,4.572596764540385,1,0.000999000999000999,0.3946053946053946,0.016483516483516484
bien_do,AUDUSD,DFII10,2,3050,7.478990877799884,6,5.6831856776184964e-08,1.4597451591935595e-07,DFII10_ad1_L2,-0.030907873713353195,-3.644757722333263,-1,0.002997002997002997,0.8601398601398601,0.03787701660042085
bien_do,AUDUSD,DFII10,5,3050,10.097800050536206,6,4.4368064777700056e-11,2.6930080387899125e-10,DFII10_ad1_L5,0.04912686164880536,5.845913035368292,1,0.001998001998001998,0.34565434565434566,0.02967032967032967
bien_do,AUDUSD,VIXCLS,1,3050,15.711901672141055,6,1.1102230246251565e-16,1.790487647035377e-09,VIXCLS_lv_L1,0.09499205749445888,5.894688230823678,1,0.000999000999000999,0.04195804195804196,0.016483516483516484
