ghi_luc,pair,ngay,h,p_giam,p_ngang,p_tang,b_pip,sigma_pip,che_do,mo_hinh,ma_cau_hinh
2026-09-04T21:28:20Z,USDCHF,2026-09-07,1,0.3544,0.2922,0.3534,12.69,38.21,1,tổ hợp trực tuyến,2026-01-01|2021-10-13
2026-09-04T21:28:20Z,USDCHF,2026-09-07,5,0.3201,0.3301,0.3498,34.66,94.2,1,tổ hợp trực tuyến,2026-01-01|2021-10-13
2026-09-04T21:28:20Z,USDCHF,2026-09-07,20,0.3272,0.3332,0.3396,55.47,165.83,1,tổ hợp trực tuyến,2026-01-01|2021-10-13
2026-09-07T22:04:18Z,EURUSD,2026-09-08,1,0.2966,0.4074,0.296,15.02,31.18,0,tổ hợp trực tuyến,2026-01-01|2021-10-13
2026-09-07T22:04:18Z,EURUSD,2026-09-08,5,0.2966,0.4628,0.2406,42.23,69.27,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-07T22:04:18Z,EURUSD,2026-09-08,20,0.3221,0.4388,0.239,76.99,136.32,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-07T22:04:18Z,GBPUSD,2026-09-08,1,0.2644,0.4699,0.2657,21.59,38.59,0,tổ hợp trực tuyến,2026-01-01|2021-10-13
2026-09-07T22:04:18Z,GBPUSD,2026-09-08,5,0.2638,0.4908,0.2454,57.0,88.82,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-07T22:04:18Z,GBPUSD,2026-09-08,20,0.2542,0.5691,0.1767,124.92,178.61,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-07T22:04:18Z,USDJPY,2026-09-08,1,0.3483,0.2647,0.387,25.92,85.69,2,tổ hợp trực tuyến,2026-01-01|2021-10-13
2026-09-07T22:04:18Z,USDJPY,2026-09-08,5,0.3063,0.2426,0.4511,56.91,200.4,2,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-07T22:04:18Z,USDJPY,2026-09-08,20,0.2923,0.2053,0.5024,94.75,405.26,2,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-07T22:04:18Z,AUDUSD,2026-09-08,1,0.262,0.4764,0.2616,13.77,23.81,0,tổ hợp trực tuyến,2026-01-01|2021-10-13
2026-09-07T22:04:18Z,AUDUSD,2026-09-08,5,0.2606,0.5116,0.2278,33.28,50.42,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-07T22:04:18Z,AUDUSD,2026-09-08,20,0.2254,0.6411,0.1335,78.07,103.38,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-07T22:04:18Z,USDCAD,2026-09-08,1,0.3308,0.3057,0.3635,15.71,49.07,0,tổ hợp trực tuyến,2026-01-01|2021-10-13
2026-09-07T22:04:18Z,USDCAD,2026-09-08,5,0.3125,0.3133,0.3741,41.25,105.92,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-07T22:04:18Z,USDCAD,2026-09-08,20,0.2502,0.3717,0.3781,98.03,229.39,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-07T22:04:18Z,USDCHF,2026-09-08,1,0.3099,0.3612,0.3289,12.69,33.28,0,tổ hợp trực tuyến,2026-01-01|2021-10-13
2026-09-07T22:04:18Z,USDCHF,2026-09-08,5,0.3621,0.2998,0.3381,29.87,82.04,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-07T22:04:18Z,USDCHF,2026-09-08,20,0.3557,0.3285,0.3157,58.69,144.44,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-08T17:19:35Z,EURUSD,2026-09-09,1,0.2967,0.4074,0.2959,15.0,31.21,0,tổ hợp trực tuyến,2026-01-01|2021-10-13
2026-09-08T17:19:35Z,EURUSD,2026-09-09,5,0.2975,0.459,0.2434,42.17,69.32,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-08T17:19:35Z,EURUSD,2026-09-09,20,0.3211,0.4401,0.2388,76.87,136.44,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-08T17:19:35Z,GBPUSD,2026-09-09,1,0.2737,0.4504,0.2759,21.64,40.75,0,tổ hợp trực tuyến,2026-01-01|2021-10-13
2026-09-08T17:19:35Z,GBPUSD,2026-09-09,5,0.2758,0.4666,0.2576,57.14,93.78,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
