Date,dist,truot_phut,truot_dong,truot_5phut,gio,pair
2010-01-04,0.001,3.6849999999999374,2.6850000000000485,4.684999999999828,0,EURUSD
2010-01-04,0.002,2.370000000000428,1.369999999998317,19.369999999998555,1,EURUSD
2010-01-04,0.003,5.054999999998255,-1.9450000000009733,5.054999999998255,1,EURUSD
2010-01-05,0.001,0.5759999999987997,0.5759999999987997,1.5759999999986896,2,EURUSD
2010-01-05,0.002,3.1519999999996,2.1519999999997097,8.151999999999049,14,EURUSD
2010-01-05,0.003,5.727999999998179,4.727999999998289,5.727999999998179,18,EURUSD
2010-01-05,0.005,5.879999999998109,0.8799999999986596,5.879999999998109,18,EURUSD
2010-01-06,0.001,3.6349999999996094,2.634999999999721,3.6349999999996094,0,EURUSD
2010-01-06,0.002,0.2700000000022129,-0.729999999997677,2.2700000000019926,0,EURUSD
2010-01-06,0.003,12.905000000000832,11.905000000000944,30.90500000000107,6,EURUSD
2010-01-06,0.005,2.174999999999816,-3.8249999999995232,2.174999999999816,6,EURUSD
2010-01-07,0.001,0.598999999998906,-0.4010000000009839,0.598999999998906,5,EURUSD
2010-01-07,0.002,1.197999999997812,-1.8020000000018577,1.197999999997812,6,EURUSD
2010-01-07,0.003,1.7969999999989383,-1.2030000000007313,1.7969999999989383,7,EURUSD
2010-01-07,0.005,0.994999999999191,-1.0050000000005888,0.994999999999191,11,EURUSD
2010-01-08,0.001,0.6820000000007376,0.6820000000007376,2.6820000000005173,0,EURUSD
2010-01-08,0.002,0.3639999999993648,-2.6360000000003048,1.3639999999992547,5,EURUSD
2010-01-08,0.003,3.045999999999882,1.0460000000001024,6.045999999999552,13,EURUSD
2010-01-10,0.001,1.572000000000795,0.5720000000009051,3.5720000000005747,22,EURUSD
2010-01-12,0.001,0.493000000001409,-0.5069999999984809,1.4930000000012988,0,EURUSD
2010-01-12,0.002,3.986000000000267,3.986000000000267,15.986000000001166,2,EURUSD
