Date,pair,sig,zT,zL,zH
2010-01-26,EURUSD,0.005393459800440746,-0.866954685730807,-1.3943615093900734,0.40581101800511177
2010-01-27,EURUSD,0.005555136151767555,-0.6660062143323005,-1.1285351412320346,0.20443024663806544
2010-01-28,EURUSD,0.005319225692926886,-0.8731267643051385,-1.1830531939868365,0.30798380080956744
2010-01-29,EURUSD,0.005246655640572427,-1.3973293178045922,-1.3973293178045922,0.3136736365258744
2010-01-31,EURUSD,0.005082350171901079,0.1418494520881844,-0.1845573037730836,0.22691006288177545
2010-02-01,EURUSD,0.004892829288551506,0.6911467608095899,-0.33907438712497034,0.9258985173320934
2010-02-02,EURUSD,0.004657429506141799,0.8466825165445986,-0.5250786022562342,0.8620458817868184
2010-02-03,EURUSD,0.004686942860786274,-1.2094415263171319,-1.4244899025651823,0.7467295166507515
2010-02-04,EURUSD,0.004801727097277598,-2.3508433641827002,-2.7907993525946613,0.05993047508300319
2010-02-05,EURUSD,0.004933527175832645,-0.9609556667761548,-2.3438323702863064,0.04424200352393733
2010-02-07,EURUSD,0.005076958820380652,-0.21644078611571282,-0.38976482185513234,0.12975040118930664
2010-02-08,EURUSD,0.00495600583974781,0.19218817005854805,-0.310845026647778,1.0474198281924267
2010-02-09,EURUSD,0.004854642553673454,1.876934563178809,-0.10561573018244985,2.74205723788682
2010-02-10,EURUSD,0.005164087012264,-0.45020670496133164,-1.4528561715324793,0.44916244376303033
2010-02-11,EURUSD,0.005333344446152332,-0.8474264153758199,-2.1119986200758096,0.7078033584591763
2010-02-12,EURUSD,0.005650774435326436,-0.7384697529419791,-2.0415232355171447,0.012928143623289496
2010-02-14,EURUSD,0.0056809985188237665,-0.038762152366613,-0.2456379141474795,0.0
2010-02-15,EURUSD,0.005543621672755149,-0.3446051558250593,-0.5835641856956354,0.14559654397711233
2010-02-16,EURUSD,0.005483743852342925,2.1861793692093006,-0.13415520960483845,2.4113035297680296
2010-02-17,EURUSD,0.005660363002628813,-2.0139107303506782,-2.312784961375115,0.3206184225959534
2010-02-18,EURUSD,0.005877602675645363,-1.759710951990178,-2.0632116603158126,0.5991638543061005
2010-02-19,EURUSD,0.0060553627308995136,1.8052580419323385,-0.1472408507597369,1.8537759631797393
2010-02-21,EURUSD,0.006076465528733179,-0.09657826151756728,-0.4229489680946213,0.03620224093121969
2010-02-22,EURUSD,0.005996284057216358,-0.29393257446587734,-0.6743638435445558,0.2934154286972491
2010-02-23,EURUSD,0.005980030253999977,-0.9986450569763854,-1.3328564510105196,1.0660172667865526
2010-02-24,EURUSD,0.006333825806826486,0.2099966526361709,-0.2687361671197043,1.174717450493974
2010-02-25,EURUSD,0.006437083327810398,-0.09179399688941055,-1.070469694809775,0.30940490780019264
2010-02-26,EURUSD,0.006531357087772021,1.0821959056013841,-0.011313225516878866,1.665207151073521
2010-02-28,EURUSD,0.006536273838055372,0.16836401622741778,-0.08986995844342681,0.17958169897658682
2010-03-01,EURUSD,0.006368187642148797,-0.8891704644457628,-2.063170930636216,0.17263061808788766
2010-03-02,EURUSD,0.0064781554903752545,0.6702391733346756,-1.406706236623243,0.7042415069861391
2010-03-03,EURUSD,0.006791682510736178,0.8623725966538308,-0.3030276533623037,1.2487985042012058
2010-03-04,EURUSD,0.006864844061440501,-1.2708337777329517,-1.6037196780926162,0.11691416924481793
2010-03-05,EURUSD,0.006780103926348113,0.43379550265985395,-0.554946140973618,0.5312239095375972
2010-03-07,EURUSD,0.006697094961050882,0.06571633966294788,-0.06574527472205766,0.16423665160153159
2010-03-08,EURUSD,0.006296579795508945,-0.19813442810124177,-0.36148976532088595,0.7784847397076905
2010-03-09,EURUSD,0.00615401470173472,-0.14326256110177907,-0.9694824545818759,0.20273932686634324
2010-03-10,EURUSD,0.006253809651020972,0.42252602127523453,-0.7421177663885339,0.8439385026970923
2010-03-11,EURUSD,0.006410685769885718,0.46807746352456614,-0.26319631314588243,0.49087462130047127
2010-03-12,EURUSD,0.006277903165817164,0.9748856459681143,-0.1747163209843651,1.2985261250864153
2010-03-14,EURUSD,0.006146731055105418,-0.04724498379612609,-0.21271055620151744,0.011809102502803247
2010-03-15,EURUSD,0.005811427086926898,-1.2665061458763027,-1.682343741772147,0.0
2010-03-16,EURUSD,0.005809784777406008,1.179275827997319,-0.22674340818945554,1.3667128667057111
2010-03-17,EURUSD,0.005899287559348487,-0.3944434460355232,-0.5302456410498105,0.6022183406985062
2010-03-18,EURUSD,0.005918692597687866,-1.5446828388137597,-1.8553213378940783,0.036899406557786556
2010-03-19,EURUSD,0.0056653614347183245,-1.0796624053274466,-1.4192327926307315,0.19441707545612297
2010-03-21,EURUSD,0.005604243582515934,-0.31665707106395996,-0.3430705434999546,0.013181857407524335
2010-03-22,EURUSD,0.0054296135733541825,0.7482105293832627,-0.6691575450471958,0.775360992978481
2010-03-23,EURUSD,0.005354179674005842,-1.3542126122871645,-1.492951271377549,0.013768012558615915
2010-03-24,EURUSD,0.005405984692951671,-1.9329347876188392,-2.266332611739606,0.21962623655488153
2010-03-25,EURUSD,0.005213651473678704,-0.360087501194209,-0.9087184945974014,0.8184804983825446
2010-03-26,EURUSD,0.004983000625970638,1.5475894724722314,-0.07543029394485133,1.7869243782130726
2010-03-28,EURUSD,0.0048703402214780615,-0.41197654761538743,-0.5342025888344433,0.3350744923187151
2010-03-29,EURUSD,0.004698145774327739,0.7112654194220964,-0.4120393055364234,0.9793483452414534
2010-03-30,EURUSD,0.0046622343764757875,-0.9082134866821263,-1.5158326785867577,0.7301504749265889
2010-03-31,EURUSD,0.004906706366045444,1.3758756657194358,-0.7751762071511015,1.7221589148532974
2010-04-01,EURUSD,0.0050686575545231365,0.8732275891103277,-0.9796937054345448,0.9313055694779848
2010-04-02,EURUSD,0.005135414863167845,-1.1789427068159057,-1.5976003026914334,0.04299699749870061
2010-04-04,EURUSD,0.0050114195996234885,-0.04436124148008194,-0.23670733131091418,0.07391349378726145
