Date,pair,sig,sig_old,zT,zL,zH,rv5
2012-02-14,EURUSD,0.006673665917200202,0.006632236962333637,-0.29533525262361654,-0.8476553875716927,0.6978214635928819,3.716907357803952e-05
2012-02-15,EURUSD,0.006619368505838247,0.006647119372748798,-0.8447266493419275,-0.9767085616761844,0.7129480911181852,4.837883250930393e-05
2012-02-16,EURUSD,0.006918981279818607,0.006751680852291702,0.7938344330941127,-0.8995599793182915,1.1380543278601436,4.998637125900686e-05
2012-02-17,EURUSD,0.006729797031137624,0.0069582366396257695,0.1436953798294224,-0.1359029627057813,0.7925514916095029,2.9431448099474413e-05
2012-02-20,EURUSD,0.0060455593940704835,0.006930051755158416,0.8488412280091897,0.4211980338532385,1.7132848724411622,2.9312780099408353e-05
2012-02-21,EURUSD,0.006148695828105597,0.006870582725261816,0.5077983280347997,-0.2538782740348705,1.051949570232929,7.353824106614557e-05
2012-02-22,EURUSD,0.006686558031416538,0.006847463736415386,0.07561514539919639,-0.4239263715718818,0.19967656384222876,2.8247325258283048e-05
2012-02-23,EURUSD,0.006122019770773277,0.00652722446685037,1.4538389701413428,-0.29726532572816206,1.5075728162155104,3.167602635949979e-05
2012-02-24,EURUSD,0.005767624793257318,0.006545315712209865,0.9464324451070587,-0.21664675541053524,1.4498633117832394,2.3363009244837463e-05
2012-02-27,EURUSD,0.005536717352756749,0.006557127261630123,-0.5340363286503719,-1.0872224668507302,0.43467103188718137,3.184385835677183e-05
2012-02-28,EURUSD,0.006227906954091979,0.006482719942339253,0.8480933527410218,-0.21332473692018514,0.8635801383134206,3.07276272015811e-05
2012-02-29,EURUSD,0.00551472508057929,0.006230314319320959,-2.0852323428818056,-2.21457142311257,0.0941547879628872,3.954844579708506e-05
2012-03-01,EURUSD,0.006186466174194348,0.005995033516377337,0.026688203467572915,-0.5079148781971085,0.385338032799083,3.185323336312646e-05
2012-03-02,EURUSD,0.006288833992387374,0.005919645972776615,-1.5431833814263958,-1.6733649771402346,0.07277190988472182,2.5069959743665217e-05
2012-03-05,EURUSD,0.005855984478463467,0.005788578619777353,0.32963948317138225,-0.4872204821169178,0.5567847720746498,3.4447884855911996e-05
2012-03-06,EURUSD,0.006079829595945384,0.005696630753469824,-1.2925104898334279,-1.5007601176866086,0.03109477397651496,2.314244903119488e-05
2012-03-07,EURUSD,0.005705571954673192,0.005532340416316024,0.28166112209895333,-0.31155543053445145,0.5895018361970905,2.3539296876220302e-05
2012-03-08,EURUSD,0.006026572086512601,0.005517938645740531,1.6422867704833353,-0.07073021021346719,1.8846744187268565,3.4411313864013284e-05
2012-03-09,EURUSD,0.005800875895304541,0.005553714802257235,-1.9372330371259976,-2.2870214318506377,0.007793709421770916,2.9863356557585705e-05
2012-03-12,EURUSD,0.005880668647216702,0.005558569836675156,0.5989161969344354,-0.5776270267639184,0.636359200256247,2.6730423159838577e-05
2012-03-13,EURUSD,0.006435727808472661,0.005410554968875389,-1.0726942695080233,-1.3938089501143174,0.2546521577889677,3.052355873753221e-05
2012-03-14,EURUSD,0.006207641172886382,0.005347943952462348,-0.7209465693579772,-0.8410059149080175,0.13543436929146968,3.0856786418084296e-05
2012-03-15,EURUSD,0.00598994493678623,0.0051587174141774095,0.7190628974612274,-0.21426997945201628,1.2620615410712617,2.671490838413532e-05
2012-03-16,EURUSD,0.005811174952191011,0.004880893051579729,1.283560900803687,-0.3662362726549461,1.4467605241210693,3.0504280121539013e-05
2012-03-19,EURUSD,0.0053115227890950635,0.004956198309534022,0.7758249901524379,-0.47075912320682384,1.287486296234729,2.1222549953455742e-05
2012-03-20,EURUSD,0.004962278430401041,0.00499849133533579,0.1385799267280979,-0.8686728219198006,0.34855243170569083,2.444691470826475e-05
2012-03-21,EURUSD,0.00508192041909861,0.004945944382026478,-0.30943372417705534,-0.8879502888141729,0.6929706356542028,2.449169289431499e-05
2012-03-22,EURUSD,0.005301978846655943,0.005059426274666299,-0.18417786317266355,-1.195357102707055,0.5272665573695917,2.8607194800592404e-05
2012-03-23,EURUSD,0.005584370855809635,0.005112452534073488,0.8820659509114335,-0.19675695621001776,1.1975791130917581,2.989916086759292e-05
2012-03-26,EURUSD,0.005270560054637716,0.005045110155519409,1.2456235735796213,-1.1157263062282778,1.3947206794494793,3.430686105598735e-05
2012-03-27,EURUSD,0.005352346426302208,0.005253318385298494,-0.39208187305375186,-0.6235160047981284,0.3926566819068926,2.196113644614076e-05
2012-03-28,EURUSD,0.00524502158394157,0.005258651156371687,-0.05150300893515113,-0.7424145872155783,0.6312110633250486,2.71168562873686e-05
2012-03-29,EURUSD,0.0053689970498214,0.005240030474396834,-0.16081560615799823,-1.028816315253854,0.27655760042233374,2.7233849100127108e-05
